id	item_group_id	title	description	link	image_link	additional_image_link	price	sale_price	sale_price_effective_date	availability	shipping_weight	brand	mpn	condition	product_type	google_product_category	identifier_exists	is_bundle
8	 	Test Labels	Test Labels	http://vinehous.nextmp.net/test-labels.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/s/t/step8_2.png	 	24.00 GBP	 	 	in stock	1.00 lb	Test	Test Labels	new	 	 	TRUE	FALSE
33	 	Build Your Own Bird Box	The Build Your Own Bird Box kit includes pre-cut sections, all screws, nails, washers, hanger and clear instructions. The 32mm hole makes it ideal for sparrows and Great Tits. Once built the Nest Box measures 29.5cm tall x 20.5cm wide	http://vinehous.nextmp.net/bird-box-build-your-own-c-bb.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/C/B/CBB_Bird_Box_Build_Your_Own.jpg	 	19.80 GBP	 	 	in stock	1.50 lb	Test	CBB	new	Bird Care > Nest Boxes,Wildlife Products > Gifts,Wildlife Products	 	TRUE	FALSE
43	 	Swallow Nest	These Swallow nests are made from wood-concrete to provide a sturdy nest for Swallows. The Swallow Nest should be sited inside a building such as a garage or out-building which allows constant easy access	http://vinehous.nextmp.net/bird-box-swallow.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/C/S/CSW_Swallow_nest.jpg	 	19.80 GBP	 	 	in stock	1.00 lb	Test	CSW	new	Bird Care > Nest Boxes,Bird Care	 	TRUE	FALSE
45	 	Terracotta Nesting Pot	These hand-finished terracotta nesting pots are frost-proof and provide an ideal nest for Blue Tits, Great Tits, House Sparrows Nuthatches, House Sparrow and Starlings. Simply hang the terracotta nesting pot from a wall in your garden for an attractive alternative to the wooden nest boxes, Height: 20cm, Diameter: 10.5cm. Suitable fot Blue Tits, Great Tits, House Sparrows and Nuthatches.	http://vinehous.nextmp.net/bird-box-terracotta-nesting-pot-small.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/C/T/CTNS_Small_Terracotta_Nest_Pot_Small.jpg	 	15.80 GBP	 	 	in stock	2.00 lb	Test	CTNS	new	Bird Care > Nest Boxes,Bird Care	 	TRUE	FALSE
46	 	Treecreeper Wooden Nest Box	This Treecreeper nest box is ideal for Treecreepers as they like to nest in narrow gaps such as areas of loose bark on mature trees. If your garden doesn’t have suitable trees then the Treecreeper nest box is a great alternative. These bird boxes are made from FSC approved wood built to last	http://vinehous.nextmp.net/bird-box-treecreeper-wooden.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/C/T/CTR_Bird_Box_Treecreeper_Wooden.jpg	 	21.50 GBP	 	 	in stock	2.00 lb	Test	CTR	new	Bird Care > Nest Boxes,Bird Care	 	TRUE	FALSE
59	 	All Metal Ground Feeding Tray	A large All Metal Ground Feeding Tray that will attract all ground feeding birds and will keep food dry and off the floor. With a thick, all metal construction, with mesh tray and suitable for any type of feed. Ideal for use with our Ground Guard or Adjustable Ground Guard. 30cm x 30cm x10cm	http://vinehous.nextmp.net/ground-feeding-tray-all-metal.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/c/p/cpw759_1.jpg	 	14.00 GBP	 	 	in stock	1.20 lb	Test	CPW759	new	Bird Feeders > Bird Tables,Bird Feeders	 	TRUE	FALSE
60	 	Premier Feeder Station Stabiliser	The four prongs sink in to the ground for stability. For the Premier Feeding Station Pole only	http://vinehous.nextmp.net/feeder-station-stabiliser.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/c/p/cpw1634_chapelwood_wild_bird_dining_station_stabilisers_c_hi_1.jpg	http://vinehous.nextmp.net/media/catalog/product/c/p/cpw1634_chapelwood_wild_bird_dining_station_stabilisers_c_hi.jpg	13.99 GBP	 	 	in stock	0.25 lb	Test	CPWFSS	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
61	 	Canary Seed	Our Canary Seed is grown here at Vine House Farm. This small grass seed is rich in oil and protein and is found in many of our mixes and is suitable for seed feeders, bird tables and ground feeders. It is one of the favourite foods of the House Sparrows that feed regularly at Vine House Farm, but also enjoyed by Siskins, many species of finch and buntings.	http://vinehous.nextmp.net/canary-seed-13kg.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/C/S/CS13_Canary_Seed.jpg	 	25.00 GBP	 	 	in stock	13.00 lb	Test	CS13	new	Bird Food > Straight Bird Foods,Bird Food	 	TRUE	FALSE
67	 	Chapelwood Antique Bird Bath	This ornate bird bath has an aged metal finish with a scrolled pedestal and a bird figure. It provides an attractive addition to your garden whilst ensuring a source of clean fresh water for bathing and drinking is available	http://vinehous.nextmp.net/bird-bath-chapel-wood-antique.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/c/w/cw1643_chapelwood_antique_bird_bath_1.jpg	http://vinehous.nextmp.net/media/catalog/product/c/w/cw1643.jpg	33.50 GBP	 	 	in stock	4.00 lb	Test	CW1643	new	Bird Care > Bird Baths,Bird Care	 	TRUE	FALSE
68	 	Squirrel Blocking Cage	The extra large diameter of this cage means squirrels and large birds cannot get to the available suet or seed. Ideal for those who have trouble with Jackdaws and Rooks. Only suitable for the Onyx 2 Port Seed Feeder or the 30cm Heavy Duty Suet Fatball Feeder	http://vinehous.nextmp.net/squirrel-blocking-cage.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/c/w/cwssqbl_squirrel_blocking_cage_for_squirrel_proof_bird_feeders_cat.jpg	 	18.00 GBP	 	 	in stock	0.50 lb	Test	CWSQBL	new	Bird Feeders > Squirrel Proof Bird Feeders,Bird Feeders	 	TRUE	FALSE
85	 	Twin Hook Garden Feeder Pole	The Twin Hook Garden Feeder Pole stands 2m tall when staked into the ground. This twin hook garden feeder pole is suitable for any hanging feeders. Gardman accessories can be added to this twin hook garden feeder pole to build your own feeding station	http://vinehous.nextmp.net/feeder-pole-double-hooked-g01116.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/0/G01116_Feeder_Pole_Twin_Shepherd_Hook.jpg	 	20.80 GBP	 	 	in stock	3.00 lb	Test	G01116	new	Bird Feeders > Bird Feeder Poles & Feeder Stations,Bird Feeders	 	TRUE	FALSE
87	 	Ground Feeding Tray	The Ground Feeding Tray has a pine frame with contrasting dark green micromesh, which keeps the bird food off the ground so ensures it is drier and fresher for longer. 42cm x 33cm	http://vinehous.nextmp.net/ground-feeding-tray-42cm-x-33cm-g-1014.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1014_Ground_Feeding_Tray_42cm_x_33cm.jpg	 	14.50 GBP	 	 	in stock	1.00 lb	Test	G1014	new	Bird Feeders > Bird Tables,Bird Feeders	 	TRUE	FALSE
88	 	Gardman Peanut Feeder	The Gardman Peanut Feeder stands 32cm tall. Fill this nut feeder up with our premium peanuts for your garden birds to enjoy	http://vinehous.nextmp.net/gardman-peanut-feeder-g1041.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1041_Gardman_Peanut_Feeder_32cm.jpg	 	16.00 GBP	 	 	out of stock	0.20 lb	Test	G1041	new	Bird Feeders > Peanut Feeders,Bird Feeders > Squirrel Proof Bird Feeders,Bird Feeders	 	TRUE	FALSE
89	 	Gardman Seed Feeder	Gardman Seed Feeder is a heavy duty feeder, made from durable polished die-cast aluminium. It will hold approximately 600g of seed mix and is approximately 33cm high. Included is an allen key for easy dissemble and cleaning.	http://vinehous.nextmp.net/gardman-seed-feeder-32cm-g1044.html?utm_source=google_shopping	http://vinehous.nextmp.net/media/catalog/product/G/1/G1044_Gardman_Seed_Feeder_32cm.jpg	 	16.00 GBP	 	 	in stock	0.20 lb	Test	G1044	new	Bird Feeders > Seed Feeders,Bird Feeders > Squirrel Proof Bird Feeders,Bird Feeders	 	TRUE	FALSE
